2023-11-10 09:59:56.721 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-10 09:59:56.724 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-006 with PID 17704 (D:\kuyejin\team_pro5\team25\build\classes\java\main started by db400tea in D:\kuyejin\team_pro5\team25)
2023-11-10 09:59:56.726 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-10 09:59:56.863 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-10 09:59:56.864 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-10 09:59:57.460 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-10 09:59:57.465 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-10 09:59:57.466 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-10 09:59:57.466 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-10 09:59:57.508 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-10 09:59:57.508 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 644 ms
2023-11-10 09:59:57.674 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 0dcc1ac8-3dfd-4b95-93dc-3ce7d4b871b9

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-10 09:59:57.721 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-10 09:59:57.808 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@52d0a5d1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@156c2e2c, org.springframework.security.web.context.SecurityContextPersistenceFilter@79865d1e, org.springframework.security.web.header.HeaderWriterFilter@2728acba, org.springframework.security.web.authentication.logout.LogoutFilter@49622196, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@100f3263, org.springframework.security.web.session.ConcurrentSessionFilter@4102f140, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58802efb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1c614615, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e0ed36f, org.springframework.security.web.session.SessionManagementFilter@d179c76, org.springframework.security.web.access.ExceptionTranslationFilter@46b960c0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54e86f6e]
2023-11-10 09:59:57.919 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-10 09:59:57.929 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-10 09:59:57.940 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-10 09:59:57.947 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.393 seconds (JVM running for 1.836)
2023-11-10 09:59:58.061 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-10 09:59:58.061 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-10 09:59:58.062 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-10 10:00:25.031 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-10 10:00:25.032 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-006 with PID 16240 (D:\kuyejin\team_pro5\team25\build\classes\java\main started by db400tea in D:\kuyejin\team_pro5\team25)
2023-11-10 10:00:25.034 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-10 10:00:25.166 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-10 10:00:25.166 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-10 10:00:25.746 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-10 10:00:25.750 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-10 10:00:25.751 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-10 10:00:25.751 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-10 10:00:25.793 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-10 10:00:25.794 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 627 ms
2023-11-10 10:00:25.967 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 0d1d9225-508f-437b-9b8d-80989a7697ed

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-10 10:00:26.014 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-10 10:00:26.102 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@156c2e2c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@e0ed36f, org.springframework.security.web.context.SecurityContextPersistenceFilter@2fd82b9f, org.springframework.security.web.header.HeaderWriterFilter@2553d2, org.springframework.security.web.authentication.logout.LogoutFilter@4f73efff, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7af11d8b, org.springframework.security.web.session.ConcurrentSessionFilter@66d23fa0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c614615, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5744962a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51a69c0f, org.springframework.security.web.session.SessionManagementFilter@49708b5, org.springframework.security.web.access.ExceptionTranslationFilter@7aae74fd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@34eb99ea]
2023-11-10 10:00:26.212 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-10 10:00:26.229 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-10 10:00:26.240 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-10 10:00:26.246 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.381 seconds (JVM running for 1.747)
2023-11-10 10:00:27.191 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-10 10:00:27.191 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-10 10:00:27.192 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-10 10:02:26.783 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
